,whole_name,sex,ioc,id,hand,best_rank,best_rank_points,best_of_3_match,best_of_5_match,best_of_3_wins,best_of_5_wins,m_16,w_16,m_17,w_17,m_18,w_18,m_19,w_19,m_20,w_20,m_21,w_21,w_tourney,tot_minutes,height,birthdate,sv1st,sv1st_win,sv2nd_win,df,ace,bpS,wmatch,lmatch,nmatch,w_surface_Hard,w_surface_Clay,w_surface_Grass,w_surface_Carpet,w_surface_unknown,l_surface_Hard,l_surface_Clay,l_surface_Grass,l_surface_Carpet,l_surface_unknown,n_tourney
2762,Juan Pablo Ficovich,M,ARG,126663.0,R,196,1048,127,0,63,0,7,3,19,8,30,16,30,18,36,17,5,1,0,12987.406302361229,184.5,24/01/1997,5589,3755,1775,269,455.0,601.0,63,64,127,7,56,0,0,0,7,56,1,0,0,63
2763,Facundo Diaz Acosta,M,ARG,207680.0,L,394,577,37,0,19,0,-1,-1,-1,-1,4,3,9,4,4,1,20,11,0,3729.883788695691,184.5,15/12/2000,1415,967,571,146,128.0,137.0,19,18,37,4,15,0,0,0,2,16,0,0,0,18
2764,Juan Manuel Cerundolo,M,ARG,207678.0,L,135,594,63,0,36,0,-1,-1,-1,-1,-1,-1,6,4,14,5,43,27,2,6471.717194896333,184.5,15/11/2001,3335,2026,636,92,47.0,252.0,36,27,63,0,36,0,0,0,1,25,1,0,0,29
2765,Carlos Alcaraz Garfia,M,ESP,207989.0,R,54,1224,87,7,62,4,-1,-1,-1,-1,-1,-1,14,7,31,25,49,34,5,10431.829544622089,185.0,08/05/2003,4844,3136,1289,226,172.0,421.0,66,28,94,11,54,1,0,0,8,19,1,0,0,34
2766,Katie Volynets,F,USA,220465.0,U,183,743,118,0,64,0,-1,-1,1,-1,12,8,35,18,31,15,39,23,1,10279.783873465976,173.18,31/12/2001,1373,801,230,97,37.0,133.0,64,54,118,38,23,3,0,0,34,17,3,0,0,56
2767,Marcelo Tomas Barrios Vera,M,CHI,144642.0,R,193,726,191,2,108,1,15,8,10,5,43,25,45,23,27,15,53,33,1,18777.74142074922,185.0,10/12/1997,8104,5533,2600,449,509.0,752.0,109,84,193,26,80,3,0,0,23,59,2,0,0,85
2768,Orlando Luz,M,BRA,126197.0,R,272,664,103,0,47,0,13,6,10,3,10,5,25,12,16,7,29,14,0,10530.335118387993,184.54,08/02/1998,4299,2956,1583,335,423.0,429.0,47,56,103,4,43,0,0,0,6,50,0,0,0,55
2769,Maxime Cressy,M,USA,202195.0,R,149,590,118,5,61,2,-1,-1,-1,-1,-1,-1,50,29,36,19,37,15,2,12454.52058287626,198.0,08/05/1997,5750,4527,1797,892,1641.0,387.0,63,60,123,54,5,4,0,0,42,13,5,0,0,63
2770,Leandro Riedi,M,SUI,209857.0,R,748,1327,6,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,2,1,4,1,0,723.0,191.0,04/02/2002,301,201,104,20,37.0,30.0,2,4,6,1,1,0,0,0,1,3,0,0,0,4
2771,Giulio Zeppieri,M,ITA,206748.0,L,293,623,88,0,47,0,-1,-1,-1,-1,-1,-1,28,14,18,8,42,25,1,8606.53366119734,185.71,11/12/2001,3933,2702,1186,172,316.0,343.0,47,41,88,3,44,0,0,0,9,32,0,0,0,42
2772,Melania Delai,F,ITA,220828.0,U,559,1042,81,0,38,0,-1,-1,1,-1,10,5,22,12,18,8,30,13,0,6818.603448528123,166.83,20/10/2002,249,143,52,39,0.0,25.0,38,43,81,5,33,0,0,0,7,36,0,0,0,42
2773,Lenny Hampel,M,AUT,126634.0,U,359,709,58,0,33,0,17,9,34,21,5,2,-1,-1,2,1,-1,-1,0,5731.0,185.2,28/12/1996,2298,1617,969,192,243.0,237.0,33,25,58,2,31,0,0,0,4,21,0,0,0,24
2774,Ulises Blanch,M,USA,200265.0,R,236,1404,142,1,68,0,1,-1,3,1,35,16,41,19,31,17,32,15,2,13114.533661197342,186.77,26/03/1998,5858,4351,2243,480,1050.0,516.0,68,75,143,44,23,1,0,0,45,29,1,0,0,74
2775,Facundo Mena,M,ARG,106057.0,R,198,957,152,0,68,0,32,14,21,9,2,-1,47,28,14,3,36,14,1,13873.039234963244,184.5,22/09/1992,5548,3808,2229,449,625.0,566.0,68,84,152,9,59,0,0,0,15,69,0,0,0,84
2776,Tomas Machac,M,CZE,207830.0,R,141,556,84,4,57,1,-1,-1,-1,-1,-1,-1,21,14,37,25,30,19,2,8085.293952635472,190.38,18/10/2000,3749,2611,1157,136,340.0,310.0,58,30,88,33,23,2,0,0,14,13,3,0,0,33
2777,Botic van de Zandschulp,M,NED,122298.0,R,121,831,131,6,80,2,3,1,6,3,7,2,33,21,35,20,53,35,1,13870.717194896333,190.25,09/10/1995,6231,4498,1845,631,744.0,541.0,82,55,137,41,38,3,0,0,23,28,4,0,0,56
2778,Kyrian Jacquet,M,FRA,208021.0,R,319,625,26,0,14,0,-1,-1,-1,-1,-1,-1,-1,-1,8,5,18,9,0,2427.0,186.96,11/05/2001,1121,742,347,81,85.0,97.0,14,12,26,5,9,0,0,0,3,9,0,0,0,11
2779,Hugo Grenier,M,FRA,126409.0,R,242,642,183,0,92,0,8,4,20,12,48,24,33,14,36,19,38,19,0,17756.49249544482,186.96,25/03/1996,8103,5685,2200,562,956.0,731.0,92,91,183,71,21,0,0,0,61,30,0,0,0,90
2780,Kamilla Rakhimova,F,RUS,215872.0,R,128,1157,157,0,100,0,1,-1,4,-1,20,12,72,53,25,16,35,19,5,14566.756089598699,176.2,27/08/2001,1835,1120,623,170,56.0,178.0,100,57,157,65,34,1,0,0,32,23,2,0,0,63
2781,Andrea Pellegrino,M,ITA,126504.0,R,235,1252,198,0,87,0,18,6,28,11,45,19,45,22,26,14,36,15,1,19652.153515478276,185.71,25/03/1997,8735,5784,2760,565,572.0,799.0,87,111,198,16,71,0,0,0,32,78,1,0,0,111
2782,Pavel Kotov,M,RUS,200303.0,R,250,445,135,0,69,0,-1,-1,-1,-1,25,13,54,27,21,12,35,17,0,14366.984990889643,187.27,23/11/1998,6162,4161,1928,364,489.0,600.0,69,66,135,44,25,0,0,0,35,31,0,0,0,66
2783,Vitaliy Sachko,M,UKR,126964.0,R,263,1138,50,0,29,0,5,3,-1,-1,-1,-1,3,1,9,5,33,20,0,5207.969981779284,185.25,14/07/1997,2388,1598,627,158,147.0,280.0,29,21,50,8,21,0,0,0,6,15,0,0,0,19
2784,Fabrizio Ornago,M,ITA,122058.0,U,366,939,54,0,18,0,4,2,1,-1,20,10,13,2,11,2,5,2,0,5530.717194896333,185.71,26/04/1992,2351,1595,740,195,209.0,188.0,18,36,54,6,12,0,0,0,14,22,0,0,0,34
2785,Roberto Cid,M,DOM,106232.0,R,214,1093,160,1,65,0,2,1,13,4,49,25,40,13,27,12,30,10,0,17071.57482694986,173.0,06/09/1993,7085,4651,2180,568,387.0,757.0,65,96,161,35,30,0,0,0,52,43,1,0,0,95
2786,Patrik Niklas Salminen,M,FIN,126609.0,L,418,953,37,1,17,0,5,3,5,1,6,2,12,6,8,5,2,-1,0,3577.827613832813,186.5,15/03/1997,1502,1066,461,150,228.0,104.0,17,21,38,10,7,0,0,0,11,9,0,0,1,22
2787,Otto Virtanen,M,FIN,202261.0,R,523,1135,11,0,6,0,-1,-1,-1,-1,-1,-1,3,2,3,1,5,3,0,1004.0,186.5,29/06/2001,470,329,168,54,55.0,59.0,6,5,11,3,3,0,0,0,2,3,0,0,0,5
2788,Viktor Durasovic,M,NOR,126340.0,U,299,730,126,4,56,2,9,3,5,3,42,21,46,22,14,4,14,5,0,11742.689107464896,183.0,29/03/1997,5397,3747,1897,399,589.0,482.0,58,72,130,44,12,0,0,2,48,23,1,0,0,71
2789,Lukas Hellum Lilleengen,M,NOR,206716.0,U,1564,1564,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,54.0,183.0,21/11/2000,23,18,8,1,2.0,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
2790,Daniel Cukierman,M,ISR,131951.0,U,528,1069,9,0,3,0,3,1,4,1,-1,-1,1,-1,-1,1,-1,-1,0,671.8445537324471,181.5,17/07/1995,312,194,69,18,18.0,34.0,3,6,9,2,1,0,0,0,5,0,0,0,1,7
2791,Finn Tearney,M,NZL,110686.0,R,365,1018,27,2,9,0,14,4,13,4,-1,-1,1,-1,-1,1,-1,-1,0,2517.505573765902,183.0,04/10/1990,1091,697,298,146,52.0,115.0,9,20,29,9,0,0,0,0,18,0,0,0,2,19
2792,Luis David Martinez,M,VEN,105334.0,U,572,1231,65,5,24,3,26,9,23,10,13,7,5,-1,2,1,1,-1,0,6529.965112290648,185.76,21/05/1989,2666,1802,936,278,254.0,281.0,27,43,70,19,7,0,0,1,21,22,0,0,0,47
2793,Alexander Donski,M,CAN,200574.0,R,566,1529,4,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,2,1,1,-1,0,358.1685245886341,188.57,09/08/1998,125,89,37,12,17.0,16.0,1,3,4,1,0,0,0,0,2,1,0,0,0,4
2794,Blaise Bicknell,M,USA,209080.0,R,1316,1316,2,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,0,191.1535154782763,186.77,unknown,0,0,0,0,0.0,0.0,1,1,2,1,0,0,0,0,1,0,0,0,0,1
2795,Kristjan Tamm,M,EST,144932.0,U,729,1386,4,0,2,0,1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,-1,0,458.2096903411543,190.0,24/06/1998,102,72,40,9,26.0,13.0,2,2,4,2,0,0,0,0,0,2,0,0,0,3
2796,Daniil Glinka,M,EST,206750.0,U,851,961,4,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,-1,0,385.16944746782764,190.0,21/05/2000,163,109,46,8,8.0,19.0,1,3,4,1,0,0,0,0,2,1,0,0,0,4
2797,Christopher Rungkat,M,INA,105464.0,R,429,1034,26,2,10,2,11,6,13,5,3,-1,-1,-1,-1,1,-1,-1,0,2120.1404371571953,185.76,20/01/1990,1044,658,324,66,55.0,100.0,12,16,28,12,0,0,0,0,16,0,0,0,0,18
2798,Gunawan Trismuwantara,M,INA,209870.0,U,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,66.1685245886341,185.76,15/01/2003,0,0,0,0,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
2799,Robert Strombachs,M,GER,207669.0,U,535,668,3,0,1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,0,232.63293260201618,187.44,22/09/1999,55,35,15,6,2.0,5.0,1,2,3,1,0,0,0,0,1,1,0,0,0,3
2800,Adam Moundir,M,SUI,125842.0,R,458,461,4,0,1,0,-1,-1,-1,-1,-1,-1,2,-1,2,1,-1,-1,0,294.8014571906503,182.83,05/05/1995,53,34,20,4,5.0,5.0,1,3,4,0,1,0,0,0,1,2,0,0,0,4
2801,Aissa Benchakroun,M,MAR,209119.0,U,1671,1671,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,95.16944746782765,185.0,unknown,0,0,0,0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
2802,Adolfo Daniel Vallejo,M,PAR,209226.0,R,0,0,3,0,2,0,-1,-1,-1,-1,-1,-1,1,-1,-1,2,-1,-1,0,187.4774863344633,185.76,unknown,0,0,0,0,0.0,0.0,2,1,3,0,2,0,0,0,0,1,0,0,0,2
2803,Martin Antonio Vergara Del Puerto,M,PAR,209225.0,U,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,77.19661202007312,185.76,unknown,0,0,0,0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
2804,Petros Tsitsipas,M,GRE,202065.0,U,743,1828,11,0,4,0,-1,-1,-1,-1,2,1,1,-1,6,3,2,-1,0,786.0130783210813,190.5,04/08/2000,274,167,107,30,31.0,29.0,4,7,11,2,2,0,0,0,5,2,0,0,0,8
2805,Maks Kasnikowski,M,POL,209874.0,U,1633,1924,3,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,0,291.16944746782764,191.14,14/07/2003,61,38,27,3,4.0,9.0,1,2,3,1,0,0,0,0,0,2,0,0,0,3
2806,Hazem Naw,M,UNK,245147.0,R,0,0,2,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,0,139.68910746489422,185.76,07/01/2000,0,0,0,0,0.0,0.0,1,1,2,1,0,0,0,0,1,0,0,0,0,1
2807,Zizou Bergs,M,BEL,200267.0,R,196,1074,78,0,49,0,3,1,1,-1,32,17,-1,-1,2,1,40,30,3,7276.0,173.67,04/06/1999,3511,2445,899,154,332.0,291.0,49,29,78,26,23,0,0,0,12,17,0,0,0,30
2808,Zane Khan,M,USA,208527.0,U,496,1277,16,0,5,0,-1,-1,-1,-1,-1,-1,6,1,4,1,6,3,0,1521.0,186.77,14/02/2002,634,420,206,44,57.0,55.0,5,11,16,4,1,0,0,0,9,2,0,0,0,11
2809,Adrian Andreev,M,BUL,202090.0,R,332,1771,30,0,12,0,1,-1,1,-1,1,-1,1,-1,1,-1,25,12,0,3170.715264107057,188.0,15/05/2001,1427,881,351,102,49.0,114.0,12,18,30,6,6,0,0,0,13,5,0,0,0,18
2810,Michael Vrbensky,M,CZE,202398.0,R,286,752,57,0,25,0,-1,-1,-1,-1,4,2,7,2,18,10,28,11,0,6062.689107464894,190.38,26/12/1999,2240,1469,999,210,156.0,299.0,25,32,57,3,22,0,0,0,7,25,0,0,0,32
2811,Alex Molcan,M,SVK,144684.0,L,153,685,154,1,91,0,7,3,12,5,12,7,52,29,13,4,59,43,1,15223.52058287626,189.29,01/12/1997,6864,4534,2110,494,402.0,657.0,91,64,155,24,65,2,0,0,21,42,1,0,0,65
2812,Mert Naci Turker,M,TUR,125833.0,U,1177,1584,8,0,2,0,1,-1,3,1,1,-1,1,-1,-1,-1,2,1,0,554.140437157195,190.0,18/08/1998,272,174,92,47,29.0,39.0,2,6,8,2,0,0,0,0,6,0,0,0,0,6
2813,Andrea Vavassori,M,ITA,131934.0,U,281,795,131,0,67,0,10,4,13,6,29,13,51,30,17,9,11,5,0,12156.01307832108,185.71,08/05/1995,5825,4062,1630,550,602.0,531.0,67,64,131,25,42,0,0,0,29,35,0,0,0,63
2814,Dane Sweeny,M,AUS,208013.0,R,604,1417,16,0,8,0,-1,-1,-1,-1,-1,-1,4,2,6,3,6,3,0,1477.0,187.08,15/02/2001,696,436,210,86,30.0,68.0,8,8,16,8,0,0,0,0,8,0,0,0,0,8
2815,Harry Bourchier,M,AUS,117358.0,R,282,1038,85,0,33,0,5,-1,7,1,22,10,29,14,14,7,8,1,0,7455.661942912649,187.08,23/01/1996,3529,2467,1119,313,428.0,299.0,33,52,85,30,3,0,0,0,46,6,0,0,0,51
2816,Tomas Martin Etcheverry,M,ARG,144869.0,R,148,524,115,0,73,0,-1,-1,-1,-1,6,2,14,6,25,16,70,49,2,12736.743351538495,184.5,19/07/1999,5477,3811,1239,158,425.0,391.0,73,42,115,3,69,1,0,0,4,37,1,0,0,42
2817,Francisco Cerundolo,M,ARG,202103.0,R,112,1379,112,2,72,0,2,1,1,-1,1,-1,34,19,33,25,43,27,4,11736.503642976626,184.5,14/08/1998,5500,3606,1427,290,228.0,485.0,72,42,114,4,66,2,0,0,6,35,1,0,0,45
2818,Camilo Ugo Carabelli,M,ARG,200116.0,R,296,997,95,0,54,0,1,-1,11,5,12,7,18,8,10,6,43,28,1,9487.011147531804,184.5,19/06/1999,3757,2519,1299,233,187.0,364.0,54,41,95,4,50,0,0,0,5,36,0,0,0,41
2819,Felipe Meligeni Rodrigues Alves,M,BRA,200335.0,R,206,2078,92,0,48,0,4,-1,1,-1,3,1,16,6,25,18,43,23,1,8644.646010923097,184.54,18/02/1998,4117,2644,1042,154,214.0,340.0,48,44,92,3,45,0,0,0,7,36,1,0,0,45
2820,Agustin Velotti,M,ARG,106006.0,R,178,754,159,0,79,0,66,39,30,9,20,11,12,5,11,4,20,11,1,15775.799526401373,184.5,27/05/1992,5930,4087,2502,368,596.0,606.0,79,80,159,29,50,0,0,0,23,57,0,0,0,79
2821,Robert Galloway,M,USA,200415.0,R,1173,2092,17,0,6,0,-1,-1,6,3,6,1,-1,-1,-1,-1,5,2,0,1194.52058287626,186.77,25/09/1992,544,344,192,57,40.0,62.0,6,11,17,4,2,0,0,0,6,5,0,0,0,11
2822,Lukas Klein,M,SVK,127760.0,R,246,1676,111,0,57,0,4,1,7,4,17,8,17,10,18,7,48,27,0,10402.71333331778,189.29,28/03/1998,5134,3648,1511,348,548.0,428.0,57,54,111,25,29,3,0,0,27,26,1,0,0,52
2823,Sebastian Baez,M,ARG,202104.0,R,157,1670,53,0,36,0,-1,-1,1,-1,-1,-1,4,2,8,5,40,29,3,5463.998069210724,184.5,31/12/2000,2817,1762,481,77,74.0,234.0,36,17,53,0,36,0,0,0,0,16,1,0,0,19
2824,Arthur Rinderknech,M,FRA,126239.0,R,78,1064,136,4,83,1,-1,-1,-1,-1,12,6,27,12,36,22,65,44,3,14113.0,186.96,27/07/1995,6479,4876,1837,312,1110.0,451.0,84,56,140,50,28,6,0,0,29,25,2,0,0,58
2825,Shintaro Mochizuki,M,JPN,208278.0,R,425,808,14,0,6,0,-1,-1,-1,-1,-1,-1,-1,-1,3,1,11,5,0,1325.0,176.29,07/06/2003,591,363,163,75,16.0,70.0,6,8,14,5,0,1,0,0,5,2,1,0,0,8
2826,Emilio Nava,M,USA,207182.0,R,393,1452,26,0,15,0,-1,-1,-1,-1,2,1,5,1,1,-1,18,13,0,2436.0,186.77,04/12/2001,1191,836,351,88,150.0,69.0,15,11,26,8,7,0,0,0,6,5,0,0,0,11
2827,Carlos Gimeno Valero,M,ESP,202197.0,U,264,534,34,0,21,0,-1,-1,-1,-1,-1,-1,-1,-1,10,7,24,14,1,3283.0,182.65,29/06/2001,1554,1000,344,198,40.0,142.0,21,13,34,4,17,0,0,0,2,11,0,0,0,14
2828,Hamad Medjedovic,M,SRB,209098.0,R,672,1057,8,0,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,3,0,932.0,186.8,22/07/2003,403,251,140,41,34.0,57.0,3,5,8,0,3,0,0,0,0,5,0,0,0,5
2829,Nuno Borges,M,POR,132686.0,R,271,614,30,0,17,0,-1,-1,-1,-1,4,2,2,1,3,1,21,13,0,3008.0,179.8,22/02/1997,1402,977,418,55,128.0,131.0,17,13,30,2,15,0,0,0,3,10,0,0,0,13
2830,Arthur Cazaux,M,FRA,209070.0,R,373,1074,26,1,11,0,-1,-1,-1,-1,-1,-1,-1,-1,6,1,21,10,0,2696.745282327772,186.96,28/08/2002,1051,760,419,37,172.0,99.0,11,16,27,1,10,0,0,0,5,11,0,0,0,15
2831,Raul Brancaccio,M,ITA,134840.0,U,270,562,94,0,43,0,-1,-1,-1,-1,9,1,54,24,7,3,24,15,0,8999.492495444822,185.71,04/05/1997,3812,2533,1366,360,203.0,385.0,43,51,94,14,29,0,0,0,17,34,0,0,0,51
2832,Dominic Stephan Stricker,M,SUI,208502.0,U,281,1018,18,0,11,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,11,1,1772.0,182.83,21/08/2002,828,650,287,43,188.0,63.0,11,7,18,6,3,2,0,0,1,4,2,0,0,8
2833,Vit Kopriva,M,CZE,200240.0,U,199,930,116,0,61,0,2,-1,7,2,10,2,20,9,29,17,48,31,0,12147.0,190.38,21/06/1997,4839,3147,1657,315,366.0,505.0,61,55,116,12,49,0,0,0,12,43,0,0,0,55
2834,Flavio Cobolli,M,ITA,207925.0,U,313,933,42,0,20,0,-1,-1,-1,-1,-1,-1,1,-1,5,-1,36,20,0,4390.0,185.71,05/05/2002,1682,1104,731,149,128.0,191.0,20,22,42,0,20,0,0,0,4,18,0,0,0,22
2835,Evan Furness,M,FRA,145001.0,R,293,1606,91,0,42,0,3,1,10,4,19,7,12,2,4,2,43,26,0,9370.816466301008,186.96,18/08/1998,4267,2842,1268,356,282.0,429.0,42,49,91,16,26,0,0,0,30,19,0,0,0,48
2836,Arthur Fils,M,FRA,209950.0,R,1035,1035,2,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,0,205.0,185.0,18/06/2004,99,55,37,10,5.0,6.0,1,1,2,0,1,0,0,0,0,1,0,0,0,1
2837,Lois Boisson,F,FRA,222391.0,R,586,1355,45,0,24,0,-1,-1,-1,-1,-1,-1,11,6,2,-1,32,18,0,3722.235154686793,173.36,15/05/2003,145,86,40,19,4.0,14.0,24,21,45,11,13,0,0,0,12,9,0,0,0,21
2838,Jack Draper,M,GBR,207733.0,L,253,571,36,1,16,0,-1,-1,-1,-1,4,-1,12,5,10,6,11,5,0,3572.52058287626,183.43,25/12/2001,1534,1122,502,156,261.0,144.0,16,21,37,13,0,3,0,0,13,1,7,0,0,22
2839,Ryan Peniston,M,GBR,126106.0,U,348,681,56,0,27,0,-1,-1,-1,-1,-1,-1,19,7,5,2,32,18,0,5565.0,183.43,13/11/1995,2537,1724,717,201,157.0,259.0,27,29,56,19,4,4,0,0,21,1,7,0,0,28
2840,Alastair Gray,M,GBR,202400.0,R,1021,1135,11,0,1,0,1,-1,3,-1,-1,-1,3,-1,-1,-1,4,1,0,961.0,183.43,27/06/1998,446,303,134,50,40.0,49.0,1,10,11,0,0,1,0,0,3,0,7,0,0,8
2841,Jack Pinnington Jones,M,GBR,209957.0,R,1195,1195,2,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,0,127.0,183.43,30/03/2003,60,39,26,4,1.0,3.0,1,1,2,0,0,1,0,0,0,0,1,0,0,1
2842,Arthur Fery,M,GBR,209259.0,R,1035,1107,4,1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,0,596.0,183.43,17/07/2002,296,216,74,11,21.0,17.0,2,3,5,0,0,2,0,0,0,0,3,0,0,3
2843,Anton Matusevich,M,GBR,207760.0,U,454,1435,7,1,4,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,7,4,0,765.9288160267641,183.43,30/05/2001,350,250,132,32,29.0,29.0,4,4,8,0,0,4,0,0,0,0,4,0,0,4
2844,Felix Gill,M,GBR,208269.0,U,987,987,3,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,294.0,183.43,31/05/2002,164,104,39,3,11.0,11.0,1,2,3,0,0,1,0,0,0,0,2,0,0,2
2845,Emma Raducanu,F,GBR,221054.0,R,174,883,77,0,57,0,-1,-1,-1,-1,19,15,33,25,6,4,19,13,3,6255.596247605762,177.71,17/11/2002,532,337,122,41,26.0,52.0,57,20,77,52,0,5,0,0,14,0,6,0,0,23
2846,Nicolas Mejia,M,COL,200711.0,R,297,1707,52,0,24,0,2,-1,-1,-1,4,1,15,4,4,1,27,18,0,5621.844553732447,188.0,15/02/2000,2434,1604,637,122,148.0,224.0,24,28,52,21,3,0,0,0,17,11,0,0,0,28
2847,Duje Ajdukovic,M,CRO,207213.0,R,253,462,54,0,32,0,-1,-1,-1,-1,-1,-1,-1,-1,12,9,42,23,0,5594.0,190.5,10/02/2001,2414,1617,846,140,191.0,273.0,32,22,54,2,30,0,0,0,4,18,0,0,0,22
2848,Alexander Erler,M,AUT,126623.0,U,323,2137,34,0,15,0,1,-1,-1,-1,10,6,6,1,2,-1,15,8,0,3401.829544622089,185.2,01/11/1997,1490,1062,560,152,221.0,146.0,15,19,34,7,8,0,0,0,9,10,0,0,0,17
2849,Lukas Neumayer,M,AUT,209903.0,R,980,1159,4,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,0,411.4924954448211,183.0,12/09/2002,156,113,63,10,9.0,13.0,2,2,4,0,2,0,0,0,0,2,0,0,0,2
2850,David Pichler,M,AUT,126536.0,R,391,703,32,0,15,0,12,7,8,4,4,2,1,-1,3,1,4,1,0,2743.0,185.2,22/02/1996,1127,791,452,80,121.0,79.0,15,17,32,5,10,0,0,0,6,11,0,0,0,16
2851,Tristan Samuel Weissborn,M,AUT,105864.0,L,864,1008,14,0,3,0,7,1,5,2,2,-1,-1,-1,-1,-1,-1,-1,0,1180.0,185.2,23/10/1991,608,388,177,72,29.0,73.0,3,11,14,1,2,0,0,0,9,2,0,0,0,11
2852,Adrien Bossel,M,SUI,104847.0,L,317,663,50,0,23,0,30,15,12,5,8,3,-1,-1,-1,-1,-1,-1,0,4210.0,182.83,02/01/1987,1939,1425,774,165,291.0,168.0,23,27,50,16,4,3,0,0,16,8,3,0,0,26
2853,Remi Boutillier,M,FRA,125796.0,U,342,629,45,0,26,0,20,11,16,11,9,4,-1,-1,-1,-1,-1,-1,0,4237.0,186.96,20/01/1990,2190,1604,650,126,258.0,148.0,26,19,45,25,0,1,0,0,17,1,1,0,0,18
2854,Rene Schulte,M,GER,122392.0,L,0,0,5,0,3,0,3,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,0,350.0,187.44,11/04/1989,156,126,70,15,43.0,19.0,3,2,5,3,0,0,0,0,2,0,0,0,0,2
2855,Kazuma Kawachi,M,JPN,124074.0,R,913,1696,5,0,1,0,2,1,-1,-1,2,-1,1,-1,-1,-1,-1,-1,0,349.0,176.29,12/10/1994,177,101,36,10,3.0,14.0,1,4,5,1,0,0,0,0,4,0,0,0,0,4
2856,Ko Suzuki,M,JPN,120545.0,L,1142,1142,5,0,3,0,2,1,-1,-1,3,2,-1,-1,-1,-1,-1,-1,0,391.0,176.29,05/08/1991,266,186,58,8,20.0,17.0,3,2,5,3,0,0,0,0,2,0,0,0,0,2
2857,Francesco Vilardo,M,ITA,105452.0,R,456,571,35,0,18,0,21,11,-1,-1,13,7,1,-1,-1,-1,-1,-1,0,3359.8576320535285,185.71,28/12/1989,1534,1056,522,79,101.0,153.0,18,17,35,15,3,0,0,0,13,4,0,0,0,17
2858,Toshihide Matsui,M,JPN,103175.0,R,601,2135,55,0,20,0,15,5,17,6,6,1,16,8,1,-1,-1,-1,0,3918.0,180.0,22/04/1978,1910,1349,681,188,292.0,190.0,20,35,55,19,1,0,0,0,32,3,0,0,0,33
2859,Shunrou Takeshima,M,JPN,121004.0,U,1200,1425,6,0,3,0,4,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,0,536.0,176.29,27/08/1990,279,175,81,16,6.0,35.0,3,3,6,3,0,0,0,0,3,0,0,0,0,3
2860,Hiromasa Oku,M,JPN,105391.0,U,787,787,2,0,1,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,129.0,176.29,02/08/1989,74,45,18,5,8.0,8.0,1,1,2,1,0,0,0,0,1,0,0,0,0,1
2861,Shuichi Sekiguchi,M,JPN,105810.0,R,261,659,148,0,73,0,43,23,38,18,25,14,28,15,5,2,9,1,0,12487.492495444822,176.29,17/07/1991,5503,3718,1996,300,417.0,573.0,73,75,148,69,4,0,0,0,70,5,0,0,0,72
2862,Hiroki Kondo,M,JPN,104082.0,R,771,1765,6,0,4,0,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,627.0,176.29,06/11/1982,217,171,72,8,30.0,15.0,4,2,6,4,0,0,0,0,2,0,0,0,0,2
2863,Yuichiro Inui,M,JPN,144955.0,R,2013,2013,2,0,1,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,221.0,176.29,06/04/1995,121,94,51,6,19.0,14.0,1,1,2,1,0,0,0,0,1,0,0,0,0,1
2864,Ryota Kishi,M,JPN,106205.0,U,889,1576,4,0,1,0,3,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,241.0,176.29,02/07/1993,148,101,52,12,21.0,12.0,1,3,4,1,0,0,0,0,3,0,0,0,0,3
